nohup: ignoring input
1.0.1.post2
cuda is available
start training
validating val_loss:2.3049 val_acc:0.1000
epoch=1 train_loss:1.7515 train_acc:0.3497 validating val_loss:5.7102 val_acc:0.1546
epoch=2 train_loss:1.3728 train_acc:0.5033 validating val_loss:32413793.7659 val_acc:0.1410
epoch=3 train_loss:1.1824 train_acc:0.5830 validating val_loss:611511.7368 val_acc:0.2248
epoch=4 train_loss:1.0671 train_acc:0.6283 validating val_loss:435447.8505 val_acc:0.2465
epoch=5 train_loss:0.9782 train_acc:0.6655 validating val_loss:4128624.5738 val_acc:0.2959
epoch=6 train_loss:0.9004 train_acc:0.6938 validating val_loss:3982.3545 val_acc:0.2598
epoch=7 train_loss:0.8301 train_acc:0.7194 validating val_loss:1275.5757 val_acc:0.3852
epoch=8 train_loss:0.7621 train_acc:0.7459 validating val_loss:990.7333 val_acc:0.3815
epoch=9 train_loss:0.7091 train_acc:0.7663 validating val_loss:1763.4952 val_acc:0.3775
epoch=10 train_loss:0.6687 train_acc:0.7813 validating val_loss:1.9291 val_acc:0.5382
epoch=11 train_loss:0.6297 train_acc:0.7926 validating val_loss:2.0234 val_acc:0.6074
epoch=12 train_loss:0.5865 train_acc:0.8099 validating val_loss:1.8602 val_acc:0.5813
epoch=13 train_loss:0.5730 train_acc:0.8122 validating val_loss:16903.2420 val_acc:0.1187
epoch=14 train_loss:0.5490 train_acc:0.8215 validating val_loss:1.5437 val_acc:0.6154
epoch=15 train_loss:0.5320 train_acc:0.8255 validating val_loss:1.5185 val_acc:0.6349
epoch=16 train_loss:0.5061 train_acc:0.8364 validating val_loss:2.4727 val_acc:0.5721
epoch=17 train_loss:0.4867 train_acc:0.8437 validating val_loss:1.7569 val_acc:0.6556
epoch=18 train_loss:0.4774 train_acc:0.8440 validating val_loss:2.0566 val_acc:0.6063
epoch=19 train_loss:0.4575 train_acc:0.8531 validating val_loss:2.0112 val_acc:0.5863
epoch=20 train_loss:0.4477 train_acc:0.8548 validating val_loss:1.8665 val_acc:0.6109
epoch=21 train_loss:0.4410 train_acc:0.8582 validating val_loss:1.6610 val_acc:0.6267
epoch=22 train_loss:0.4242 train_acc:0.8629 validating val_loss:2.0411 val_acc:0.6205
epoch=23 train_loss:0.4232 train_acc:0.8638 validating val_loss:1.9702 val_acc:0.6058
epoch=24 train_loss:0.4001 train_acc:0.8716 validating val_loss:1.5551 val_acc:0.6710
epoch=25 train_loss:0.3994 train_acc:0.8707 validating val_loss:1.4968 val_acc:0.6706
epoch=26 train_loss:0.3896 train_acc:0.8747 validating val_loss:1.2061 val_acc:0.7162
epoch=27 train_loss:0.3775 train_acc:0.8786 validating val_loss:1.6959 val_acc:0.6493
epoch=28 train_loss:0.3712 train_acc:0.8806 validating val_loss:1.2180 val_acc:0.7138
epoch=29 train_loss:0.3613 train_acc:0.8842 validating val_loss:1.2937 val_acc:0.7149
epoch=30 train_loss:0.3612 train_acc:0.8838 validating val_loss:2.2243 val_acc:0.6169
epoch=31 train_loss:0.3744 train_acc:0.8799 validating val_loss:1.5277 val_acc:0.6655
epoch=32 train_loss:0.3572 train_acc:0.8855 validating val_loss:1.8933 val_acc:0.6715
epoch=33 train_loss:0.3501 train_acc:0.8883 validating val_loss:1.6283 val_acc:0.6678
epoch=34 train_loss:0.3523 train_acc:0.8865 validating val_loss:2.0256 val_acc:0.6110
